,image_name,tar_xywh,dist_xywh,link_vg,vg_object_id,condition,responses_someRE,responses_MN,responses_someRE_found,responses_MN_found,responses_someRE_prob,responses_MN_prob,img_inf_scores_someRE,img_inf_scores_MN
0,bird_pelican_ambi_spec_1344479.png,"[132, 56, 196, 294]","[57, 246, 73, 64]",https://cs.stanford.edu/people/rak248/VG_100K_2/2380622.jpg,1344479,spec,"{'pelican': 15, 'bird': 9, 'duck': 6, 'seagull': 2, 'swan': 2, 'albatross': 1, 'tuck': 1, 'crane': 1, 'goose': 1, 'stork': 1, 'falcon': 1}","{'bird': 20, 'pelican': 7, 'stork': 5}","{'pelican': 15, 'bird': 9, 'duck': 6, 'seagull': 2, 'swan': 2, 'crane': 1, 'goose': 1}","{'bird': 20, 'pelican': 7}","{'pelican': 0.4166666666666667, 'bird': 0.25, 'duck': 0.16666666666666666, 'seagull': 0.05555555555555555, 'swan': 0.05555555555555555, 'crane': 0.027777777777777776, 'goose': 0.027777777777777776}","{'bird': 0.7407407407407407, 'pelican': 0.25925925925925924}",1.5519280107320412,1.4043046914424462
1,car_suv_unambiguos_3331437.png,"[14, 45, 455, 220]","[0, 192, 500, 138]",https://cs.stanford.edu/people/rak248/VG_100K/2317090.jpg,3331437,unam,"{'car': 48, 'suv': 13, 'vehicle': 9, 'automobile': 2, 'van': 2, 'jeep': 1, 'rack': 1, 'truck': 1}","{'car': 16, 'suv': 11, 'vehicle': 3, 'truck': 2, 'automobile': 1}","{'car': 48, 'suv': 13, 'vehicle': 9, 'automobile': 2, 'van': 2, 'jeep': 1, 'rack': 1, 'truck': 1}","{'car': 16, 'suv': 11, 'vehicle': 3, 'truck': 2, 'automobile': 1}","{'car': 0.6233766233766234, 'suv': 0.16883116883116883, 'vehicle': 0.11688311688311688, 'automobile': 0.025974025974025976, 'van': 0.025974025974025976, 'jeep': 0.012987012987012988, 'rack': 0.012987012987012988, 'truck': 0.012987012987012988}","{'car': 0.48484848484848486, 'suv': 0.3333333333333333, 'vehicle': 0.09090909090909091, 'truck': 0.06060606060606061, 'automobile': 0.030303030303030304}",1.4870846658085084,1.5188658058141356
2,car_suv_ambi_spec_812934.png,"[183, 54, 222, 172]","[0, 89, 211, 124]",https://cs.stanford.edu/people/rak248/VG_100K/2357338.jpg,812934,spec,"{'car': 20, 'suv': 15, 'toyota': 2, 'truck': 1, 'plate': 1, 'van': 1}","{'car': 20, 'vehicle': 7, 'suv': 5, 'truck': 4}","{'car': 20, 'suv': 15, 'truck': 1, 'plate': 1, 'van': 1}","{'car': 20, 'vehicle': 7, 'suv': 5, 'truck': 4}","{'car': 0.5263157894736842, 'suv': 0.39473684210526316, 'truck': 0.02631578947368421, 'plate': 0.02631578947368421, 'van': 0.02631578947368421}","{'car': 0.5555555555555556, 'vehicle': 0.19444444444444445, 'suv': 0.1388888888888889, 'truck': 0.1111111111111111}",1.5396021801906052,1.4763184063460204
3,train_locomotive_unambiguos_1856746.png,"[151, 88, 191, 199]","[0, 166, 300, 167]",https://cs.stanford.edu/people/rak248/VG_100K/2355770.jpg,1856746,unam,"{'train': 70, 'locomotive': 6, 'engine': 2, 't': 1, 'tain': 1}","{'train': 33, 'locomotive': 2}","{'train': 70, 'locomotive': 6, 'engine': 2, 't': 1}","{'train': 33, 'locomotive': 2}","{'train': 0.8860759493670886, 'locomotive': 0.0759493670886076, 'engine': 0.02531645569620253, 't': 0.012658227848101266}","{'train': 0.9428571428571428, 'locomotive': 0.05714285714285714}",1.7145350615837573,1.7202709099557656
4,shirt_poloshirt_ambi_spec_965556.png,"[267, 141, 232, 233]","[83, 143, 163, 150]",https://cs.stanford.edu/people/rak248/VG_100K/2334334.jpg,965556,spec,"{'shirt': 8, 'man': 6, 'watch': 4, 'men': 2, 'blackshirt': 1, 'm': 1, 'stripes': 1}","{'shirt': 24, 't-shirt': 4, 'polo': 3, 'polo shirt': 2}","{'shirt': 8, 'man': 6, 'watch': 4, 'men': 2, 'stripes': 1}","{'shirt': 24, 't-shirt': 4, 'polo': 3, 'polo shirt': 2}","{'shirt': 0.38095238095238093, 'man': 0.2857142857142857, 'watch': 0.19047619047619047, 'men': 0.09523809523809523, 'stripes': 0.047619047619047616}","{'shirt': 0.7272727272727273, 't-shirt': 0.12121212121212122, 'polo': 0.09090909090909091, 'polo shirt': 0.06060606060606061}",1.2751261915674958,1.303233315825902
5,bird_pelican_unambiguous_3131623.png,"[63, 98, 420, 204]","[0, 256, 500, 77]",https://cs.stanford.edu/people/rak248/VG_100K/2320283.jpg,3131623,unam,"{'bird': 60, 'duck': 3, 'pelican': 2, 'crane': 2, 'eagle': 2, 'falcon': 1, 'heron': 1, 'stork': 1}","{'bird': 29, 'pelican': 2}","{'bird': 60, 'duck': 3, 'pelican': 2, 'crane': 2, 'eagle': 2}","{'bird': 29, 'pelican': 2}","{'bird': 0.8695652173913043, 'duck': 0.043478260869565216, 'pelican': 0.028985507246376812, 'crane': 0.028985507246376812, 'eagle': 0.028985507246376812}","{'bird': 0.9354838709677419, 'pelican': 0.06451612903225806}",1.3053727140789708,1.3119617970059525
6,boat_ship_unambiguous_3610770.png,"[8, 287, 331, 167]","[147, 50, 69, 243]",https://cs.stanford.edu/people/rak248/VG_100K/2319391.jpg,3610770,unam,"{'boat': 48, 'ship': 23, 'lighthouse': 4, 'f': 1, 'ferry': 1, 'tugboat': 1}","{'boat': 23, 'ship': 8, 'tugboat': 2, 'vehicles': 2}","{'boat': 48, 'ship': 23, 'lighthouse': 4, 'ferry': 1}","{'boat': 23, 'ship': 8, 'vehicles': 2}","{'boat': 0.631578947368421, 'ship': 0.3026315789473684, 'lighthouse': 0.05263157894736842, 'ferry': 0.013157894736842105}","{'boat': 0.696969696969697, 'ship': 0.24242424242424243, 'vehicles': 0.06060606060606061}",1.463297040873119,1.4382814674878597
7,building_restaurant_unambiguous_3823543.png,"[0, 0, 482, 304]","[228, 136, 216, 195]",https://cs.stanford.edu/people/rak248/VG_100K_2/2395118.jpg,3823543,unam,"{'restaurant': 19, 'umbrella': 5, 'shop': 4, 'hotel': 3, 'building': 2, 'store': 2, 'shalom': 2, 'house': 2, 'table': 1, 'board': 1, 'awning': 1, 'entrance': 1, 'diner': 1, 'man': 1, 'business': 1, 'chair': 1, 'tree': 1, 'sign': 1, 'front': 1, 'storefront': 1}","{'building': 11, 'restaurant': 9, 'storefront': 3}","{'restaurant': 19, 'umbrella': 5, 'shop': 4, 'hotel': 3, 'building': 2, 'store': 2, 'house': 2, 'table': 1, 'board': 1, 'awning': 1, 'entrance': 1, 'diner': 1, 'man': 1, 'business': 1, 'chair': 1, 'tree': 1, 'sign': 1, 'front': 1, 'storefront': 1}","{'building': 11, 'restaurant': 9, 'storefront': 3}","{'restaurant': 0.3877551020408163, 'umbrella': 0.10204081632653061, 'shop': 0.08163265306122448, 'hotel': 0.061224489795918366, 'building': 0.04081632653061224, 'store': 0.04081632653061224, 'house': 0.04081632653061224, 'table': 0.02040816326530612, 'board': 0.02040816326530612, 'awning': 0.02040816326530612, 'entrance': 0.02040816326530612, 'diner': 0.02040816326530612, 'man': 0.02040816326530612, 'business': 0.02040816326530612, 'chair': 0.02040816326530612, 'tree': 0.02040816326530612, 'sign': 0.02040816326530612, 'front': 0.02040816326530612, 'storefront': 0.02040816326530612}","{'building': 0.4782608695652174, 'restaurant': 0.391304347826087, 'storefront': 0.13043478260869565}",1.2964778886440278,1.293563069490978
8,chair_officehcair_unambigous_1642812.png,"[133, 208, 245, 392]","[312, 218, 343, 353]",https://cs.stanford.edu/people/rak248/VG_100K_2/1691.jpg,1642812,unam,"{'chair': 46, 'man': 5, 'guy': 1, 'lp': 1, 'shirt': 1, 'wheelchair': 1, 'men': 1, 'computer': 1}","{'chair': 33, 'desk chair': 2}","{'chair': 46, 'man': 5, 'guy': 1, 'shirt': 1, 'wheelchair': 1, 'men': 1, 'computer': 1}","{'chair': 33, 'desk chair': 2}","{'chair': 0.8214285714285714, 'man': 0.08928571428571429, 'guy': 0.017857142857142856, 'shirt': 0.017857142857142856, 'wheelchair': 0.017857142857142856, 'men': 0.017857142857142856, 'computer': 0.017857142857142856}","{'chair': 0.9428571428571428, 'desk chair': 0.05714285714285714}",1.2531851136191503,1.2555242953357724
9,man_skateboarder_unambiguos_554685.png,"[77, 0, 255, 382]","[0, 343, 333, 157]",https://cs.stanford.edu/people/rak248/VG_100K_2/2379147.jpg,554685,unam,"{'skateboarder': 19, 'man': 18, 'skater': 16, 'boy': 4, 'skating': 3, 'person': 3, 'jumper': 1, 'player': 1, 'skateboard': 1, 'men': 1, 'sportsman': 1}","{'man': 12, 'skateboarder': 10, 'skater': 9, 'person': 2, 'human': 1}","{'skateboarder': 19, 'man': 18, 'skater': 16, 'boy': 4, 'skating': 3, 'person': 3, 'jumper': 1, 'player': 1, 'skateboard': 1, 'men': 1}","{'man': 12, 'skateboarder': 10, 'skater': 9, 'person': 2, 'human': 1}","{'skateboarder': 0.2835820895522388, 'man': 0.26865671641791045, 'skater': 0.23880597014925373, 'boy': 0.05970149253731343, 'skating': 0.04477611940298507, 'person': 0.04477611940298507, 'jumper': 0.014925373134328358, 'player': 0.014925373134328358, 'skateboard': 0.014925373134328358, 'men': 0.014925373134328358}","{'man': 0.35294117647058826, 'skateboarder': 0.29411764705882354, 'skater': 0.2647058823529412, 'person': 0.058823529411764705, 'human': 0.029411764705882353}",1.371930515857199,1.3683663943196804
